Entry,localization,relability_score
Q99583,Nucleoplasm,Enhanced
P08243,Cytosol,Enhanced
Q96S53,Nucleoplasm,Enhanced
Q13428,Nucleoli fibrillar center,Enhanced
Q9NXR8,Nucleoplasm,Enhanced
P15923,Nucleoplasm,Enhanced
Q96EP5,Cytosol,Enhanced
Q96EP5,Nucleoplasm,Enhanced
Q14527,Nucleoplasm,Enhanced
Q14320,Nucleoplasm,Enhanced
Q10570,Nucleoplasm,Enhanced
Q14683,Nucleoplasm,Enhanced
O75330,Centrosome,Enhanced
O75330,Cytosol,Enhanced
O75330,Microtubules,Enhanced
O15460,Endoplasmic reticulum,Enhanced
O15460,Vesicles,Enhanced
P18887,Nucleoplasm,Enhanced
P49736,Nucleoplasm,Enhanced
Q9H3D4,Nucleoplasm,Enhanced
P31040,Mitochondria,Enhanced
Q9Y6M1,Cytosol,Enhanced
Q13492,Vesicles,Enhanced
Q15562,Nucleoplasm,Enhanced
Q99685,Nucleoplasm,Enhanced
Q9P035,Endoplasmic reticulum,Enhanced
P06733,Cytosol,Enhanced
P06733,Plasma membrane,Enhanced
P24752,Mitochondria,Enhanced
Q9NYQ6,Plasma membrane,Enhanced
Q14966,Nucleoplasm,Enhanced
P15408,Nucleoplasm,Enhanced
O43379,Centriolar satellite,Enhanced
Q14566,Nucleoplasm,Enhanced
Q9Y580,Nucleoplasm,Enhanced
Q9UIF9,Nuclear speckles,Enhanced
P40692,Nucleoplasm,Enhanced
Q9NWQ8,Plasma membrane,Enhanced
Q92888,Cytosol,Enhanced
Q15833,Cytosol,Enhanced
Q9NPI5,Nucleoplasm,Enhanced
Q9NPI5,Vesicles,Enhanced
P10826,Nucleoplasm,Enhanced
Q02880,Nucleoplasm,Enhanced
Q9NQT4,Nucleoli,Enhanced
Q7Z5R6,Cytosol,Enhanced
Q7Z5R6,Plasma membrane,Enhanced
P14679,Vesicles,Enhanced
O75928,Nucleoplasm,Enhanced
Q9UQV4,Vesicles,Enhanced
Q9NWB1,Nucleoplasm,Enhanced
P31269,Nucleoplasm,Enhanced
P41586,Vesicles,Enhanced
Q96J02,Nucleoplasm,Enhanced
Q96J02,Vesicles,Enhanced
Q96FV9,Nuclear speckles,Enhanced
P13010,Nucleoplasm,Enhanced
Q9HBL0,Focal adhesion sites,Enhanced
Q9P0U3,Nucleoplasm,Enhanced
O43491,Plasma membrane,Enhanced
Q9UF33,Nucleoplasm,Enhanced
P07900,Cytosol,Enhanced
P28749,Nucleoplasm,Enhanced
P36402,Nucleoplasm,Enhanced
Q8WW12,Nuclear bodies,Enhanced
Q8WW12,Nucleoplasm,Enhanced
Q9GZZ9,Cytosol,Enhanced
Q6STE5,Nucleoplasm,Enhanced
Q9Y2J2,Cell Junctions,Enhanced
Q9Y2J2,Plasma membrane,Enhanced
Q8TEQ6,Cytosol,Enhanced
O14980,Cytosol,Enhanced
O14980,Nuclear membrane,Enhanced
O14980,Nucleoplasm,Enhanced
Q9H7E2,Nucleoplasm,Enhanced
Q9UHK0,Nucleoli,Enhanced
Q9UHK0,Nucleoplasm,Enhanced
Q9NTI5,Nucleoplasm,Enhanced
P55809,Mitochondria,Enhanced
Q15788,Cytosol,Enhanced
Q15788,Nucleoplasm,Enhanced
Q15788,Plasma membrane,Enhanced
P40939,Mitochondria,Enhanced
Q6NUK1,Mitochondria,Enhanced
P46199,Mitochondria,Enhanced
Q5SRH9,Centrosome,Enhanced
P42566,Cytosol,Enhanced
P42566,Vesicles,Enhanced
Q92698,Nucleoplasm,Enhanced
P15291,Golgi apparatus,Enhanced
Q9NW64,Nucleoplasm,Enhanced
Q7Z6Z7,Cytosol,Enhanced
Q7Z6Z7,Nucleoplasm,Enhanced
Q9BXP5,Nucleoplasm,Enhanced
P78316,Nucleoli,Enhanced
P78316,Nucleoplasm,Enhanced
P35611,Nucleoplasm,Enhanced
P35611,Plasma membrane,Enhanced
Q9H9P8,Mitochondria,Enhanced
Q14112,Plasma membrane,Enhanced
Q13435,Nuclear speckles,Enhanced
Q96KR7,Nucleoplasm,Enhanced
O00204,Vesicles,Enhanced
Q9NVP1,Mitotic chromosome,Enhanced
Q9NVP1,Nucleoli,Enhanced
Q9NVP1,Nucleoli rim,Enhanced
Q92945,Nucleoplasm,Enhanced
Q8IZD9,Cytosol,Enhanced
Q7Z434,Mitochondria,Enhanced
Q9H0D6,Nucleoli,Enhanced
Q9H0D6,Nucleoplasm,Enhanced
Q92616,Cytosol,Enhanced
P49023,Cytosol,Enhanced
P49023,Focal adhesion sites,Enhanced
Q9UJA5,Nucleoplasm,Enhanced
P05060,Vesicles,Enhanced
Q9P107,Cytosol,Enhanced
Q9P107,Nucleoplasm,Enhanced
P24278,Nucleoplasm,Enhanced
Q9UKL0,Nucleoplasm,Enhanced
O75909,Nucleoplasm,Enhanced
Q9Y266,Cytosol,Enhanced
Q7L5Y9,Nucleoplasm,Enhanced
O75154,Centriolar satellite,Enhanced
O75154,Vesicles,Enhanced
Q08378,Golgi apparatus,Enhanced
Q13310,Cytosol,Enhanced
O43396,Cytosol,Enhanced
P07954,Mitochondria,Enhanced
Q9ULT8,Nucleoli,Enhanced
Q9ULT8,Nucleoplasm,Enhanced
P07910,Nucleoplasm,Enhanced
Q9BSI4,Nuclear bodies,Enhanced
O43175,Cytosol,Enhanced
O43175,Plasma membrane,Enhanced
Q9HAW4,Nucleoplasm,Enhanced
Q9UKX7,Nuclear membrane,Enhanced
Q9UKX7,Nucleoplasm,Enhanced
P21964,Endoplasmic reticulum,Enhanced
P21964,Vesicles,Enhanced
P45973,Nucleoplasm,Enhanced
Q9NR45,Nucleoplasm,Enhanced
Q9BTA9,Nucleoplasm,Enhanced
Q13451,Nucleoplasm,Enhanced
P00519,Nuclear bodies,Enhanced
P00519,Nucleoplasm,Enhanced
O00767,Endoplasmic reticulum,Enhanced
Q9H2F3,Lipid droplets,Enhanced
P52272,Nucleoplasm,Enhanced
Q8IVT2,Focal adhesion sites,Enhanced
Q8IVT2,Plasma membrane,Enhanced
O75781,Nucleoplasm,Enhanced
O75781,Plasma membrane,Enhanced
O00192,Cell Junctions,Enhanced
O00192,Plasma membrane,Enhanced
P43487,Cytosol,Enhanced
P46109,Nucleoplasm,Enhanced
Q9BXK5,Mitochondria,Enhanced
Q9BXI6,Plasma membrane,Enhanced
Q15459,Nuclear speckles,Enhanced
Q15459,Nucleoplasm,Enhanced
Q13356,Nucleoplasm,Enhanced
O00541,Mitotic chromosome,Enhanced
O00541,Nucleoli,Enhanced
O00541,Nucleoli rim,Enhanced
O00541,Nucleoplasm,Enhanced
P54198,Nucleoplasm,Enhanced
Q9NS69,Mitochondria,Enhanced
Q9BY77,Nuclear speckles,Enhanced
P33992,Nucleoplasm,Enhanced
Q15750,Cytosol,Enhanced
Q15750,Nuclear speckles,Enhanced
Q99757,Mitochondria,Enhanced
Q15080,Cytosol,Enhanced
P50502,Cytosol,Enhanced
Q09472,Nucleoplasm,Enhanced
Q7RTV0,Nucleoplasm,Enhanced
Q00532,Nucleoplasm,Enhanced
Q00532,Vesicles,Enhanced
Q16667,Cytosol,Enhanced
Q9UEU0,Golgi apparatus,Enhanced
Q9UEU0,Vesicles,Enhanced
Q13573,Nucleoplasm,Enhanced
Q16665,Nuclear bodies,Enhanced
Q16665,Nucleoplasm,Enhanced
Q13243,Nucleoplasm,Enhanced
P55010,Cytosol,Enhanced
P11586,Cytosol,Enhanced
P56279,Cytosol,Enhanced
P56279,Endoplasmic reticulum,Enhanced
P56279,Nucleoplasm,Enhanced
Q6PJT7,Nuclear speckles,Enhanced
P62191,Cytosol,Enhanced
P62191,Nucleoplasm,Enhanced
O75582,Nucleoplasm,Enhanced
Q9HCK8,Nucleoplasm,Enhanced
Q16822,Mitochondria,Enhanced
Q8TEB1,Nucleoplasm,Enhanced
P25963,Cytosol,Enhanced
Q9UJQ4,Nucleoplasm,Enhanced
Q05048,Nucleoplasm,Enhanced
Q96CA5,Centrosome,Enhanced
Q96CA5,Cytosol,Enhanced
Q96CA5,Nucleoplasm,Enhanced
Q9UKD1,Nucleoplasm,Enhanced
O00567,Nucleoli fibrillar center,Enhanced
O43837,Mitochondria,Enhanced
Q9H7V2,Vesicles,Enhanced
Q9P0L0,Endoplasmic reticulum,Enhanced
P33240,Nuclear bodies,Enhanced
P33240,Nucleoplasm,Enhanced
Q8NHV9,Nucleoplasm,Enhanced
Q16576,Nucleoplasm,Enhanced
Q06787,Cytosol,Enhanced
O60828,Nuclear speckles,Enhanced
P50402,Endoplasmic reticulum,Enhanced
P50402,Nuclear membrane,Enhanced
O43719,Nucleoplasm,Enhanced
Q9Y237,Nucleoli,Enhanced
Q9UNF1,Cytosol,Enhanced
Q9UNF1,Nucleoli,Enhanced
Q9UNF1,Nucleoplasm,Enhanced
P98179,Nucleoplasm,Enhanced
Q2M1K9,Nucleoplasm,Enhanced
Q02127,Mitochondria,Enhanced
Q96AP0,Nuclear bodies,Enhanced
P51665,Nucleoplasm,Enhanced
Q08AM6,Vesicles,Enhanced
Q9H6T0,Nucleoplasm,Enhanced
P49815,Cytosol,Enhanced
O60304,Nucleoplasm,Enhanced
Q9UJY4,Golgi apparatus,Enhanced
O15405,Nucleoplasm,Enhanced
P56270,Nucleoplasm,Enhanced
Q12846,Plasma membrane,Enhanced
Q1ED39,Nucleoli,Enhanced
Q1ED39,Nucleoli rim,Enhanced
P41240,Cytosol,Enhanced
P41240,Vesicles,Enhanced
P62491,Centriolar satellite,Enhanced
P62491,Vesicles,Enhanced
Q07157,Cell Junctions,Enhanced
Q9NV88,Nucleoplasm,Enhanced
O43353,Cytosol,Enhanced
Q9HDC5,Nucleoplasm,Enhanced
Q6NXG1,Nuclear bodies,Enhanced
Q6NXG1,Nucleoplasm,Enhanced
Q9H788,Cytosol,Enhanced
P07197,Intermediate filaments,Enhanced
P33991,Nucleoplasm,Enhanced
O60238,Mitochondria,Enhanced
P14866,Nucleoplasm,Enhanced
P08621,Nucleoplasm,Enhanced
Q6ZSZ5,Cytosol,Enhanced
Q8WUF5,Cytosol,Enhanced
Q8TEK3,Nucleoplasm,Enhanced
O75792,Cytosol,Enhanced
O75792,Nucleoplasm,Enhanced
O43615,Mitochondria,Enhanced
Q9UPN7,Cytosol,Enhanced
P24864,Nucleoplasm,Enhanced
P62249,Cytosol,Enhanced
P62249,Endoplasmic reticulum,Enhanced
P36954,Nucleoplasm,Enhanced
Q15758,Plasma membrane,Enhanced
O95049,Cell Junctions,Enhanced
O95049,Nucleoplasm,Enhanced
Q9BUJ2,Nucleoplasm,Enhanced
P38117,Mitochondria,Enhanced
Q9NWV8,Cytosol,Enhanced
Q9NWV8,Nuclear bodies,Enhanced
Q9NWV8,Nucleoplasm,Enhanced
Q9BQ67,Nucleoli,Enhanced
Q9BQ67,Nucleoli rim,Enhanced
Q9BQ67,Nucleoplasm,Enhanced
O14579,Golgi apparatus,Enhanced
Q6NXE6,Cytosol,Enhanced
Q86X29,Cell Junctions,Enhanced
Q86X29,Plasma membrane,Enhanced
Q8IWZ8,Nucleoplasm,Enhanced
O95571,Mitochondria,Enhanced
O75439,Mitochondria,Enhanced
Q3B726,Nucleoli fibrillar center,Enhanced
Q3B726,Nucleoplasm,Enhanced
O60381,Nuclear speckles,Enhanced
Q02446,Nucleoplasm,Enhanced
Q7Z2W4,Cytosol,Enhanced
Q02218,Mitochondria,Enhanced
O75190,Nucleoplasm,Enhanced
Q92527,Nucleoplasm,Enhanced
P04792,Cytosol,Enhanced
P04792,Plasma membrane,Enhanced
Q13442,Cytosol,Enhanced
Q13442,Plasma membrane,Enhanced
Q9NW13,Nucleoli,Enhanced
P49005,Nucleoplasm,Enhanced
P62166,Plasma membrane,Enhanced
Q15464,Cytosol,Enhanced
Q9BQ39,Nucleoli,Enhanced
Q9Y6Y8,Vesicles,Enhanced
Q9NXX6,Nucleoplasm,Enhanced
Q9HB21,Nucleoplasm,Enhanced
Q9BWM7,Mitochondria,Enhanced
Q5T8D3,Peroxisomes,Enhanced
Q92615,Cytosol,Enhanced
Q9BZE4,Nucleoli,Enhanced
Q9BZE4,Nucleoli rim,Enhanced
Q5VWN6,Nucleoplasm,Enhanced
Q9NQW7,Cytosol,Enhanced
Q00059,Mitochondria,Enhanced
P84098,Cytosol,Enhanced
P84098,Nucleoli,Enhanced
Q59EK9,Vesicles,Enhanced
P17480,Nucleoli fibrillar center,Enhanced
Q14974,Cytosol,Enhanced
Q14974,Nuclear membrane,Enhanced
Q14974,Nucleoplasm,Enhanced
O94983,Nucleoplasm,Enhanced
P13929,Cytosol,Enhanced
P13929,Plasma membrane,Enhanced
Q7Z5J4,Nucleoplasm,Enhanced
Q96A33,Endoplasmic reticulum,Enhanced
Q8IY81,Nucleoli,Enhanced
Q8IY81,Nucleoli rim,Enhanced
P30838,Cytosol,Enhanced
Q92925,Nucleoplasm,Enhanced
Q9NYH9,Mitotic chromosome,Enhanced
Q9NYH9,Nucleoli,Enhanced
P51148,Endosomes,Enhanced
Q96AG4,Endoplasmic reticulum,Enhanced
O95232,Nuclear speckles,Enhanced
Q15029,Nucleoplasm,Enhanced
Q16534,Nucleoplasm,Enhanced
Q96QT6,Nucleoplasm,Enhanced
Q99453,Nucleoplasm,Enhanced
Q9P270,Centrosome,Enhanced
Q9P270,Cytosol,Enhanced
Q9UKJ5,Plasma membrane,Enhanced
Q9UKJ5,Vesicles,Enhanced
O43143,Nuclear speckles,Enhanced
Q8TAT5,Nucleoplasm,Enhanced
P57682,Nucleoplasm,Enhanced
P02511,Cytosol,Enhanced
P02511,Plasma membrane,Enhanced
Q8N3X1,Nucleoplasm,Enhanced
Q9P2W7,Vesicles,Enhanced
O00534,Nucleoplasm,Enhanced
P22059,Golgi apparatus,Enhanced
Q5H9R7,Cytosol,Enhanced
Q5H9R7,Nucleoplasm,Enhanced
Q5H9R7,Plasma membrane,Enhanced
Q9H6F5,Mitotic chromosome,Enhanced
Q9H6F5,Nucleoli,Enhanced
Q9H6F5,Nucleoli rim,Enhanced
Q9H6F5,Nucleoplasm,Enhanced
Q9UMS4,Nuclear speckles,Enhanced
Q96RD7,Plasma membrane,Enhanced
P78344,Cytosol,Enhanced
Q8WUK0,Mitochondria,Enhanced
P49589,Cytosol,Enhanced
P32780,Nucleoplasm,Enhanced
Q86W92,Plasma membrane,Enhanced
Q9UBW5,Plasma membrane,Enhanced
P06576,Mitochondria,Enhanced
Q8NHQ9,Cytosol,Enhanced
Q8NHQ9,Nucleoli,Enhanced
Q8NHQ9,Nucleoplasm,Enhanced
Q9ULW2,Nucleoplasm,Enhanced
Q86VP6,Cytosol,Enhanced
Q86VP6,Golgi apparatus,Enhanced
Q86VP6,Nucleoplasm,Enhanced
Q16630,Nuclear speckles,Enhanced
Q16630,Nucleoplasm,Enhanced
Q13601,Nucleoli,Enhanced
Q13601,Nucleoli rim,Enhanced
Q13601,Nucleoplasm,Enhanced
P04406,Cytosol,Enhanced
P04406,Plasma membrane,Enhanced
P46087,Nucleoli,Enhanced
Q14839,Nucleoplasm,Enhanced
P09104,Cytosol,Enhanced
P09104,Plasma membrane,Enhanced
Q99622,Nuclear speckles,Enhanced
Q9Y294,Nucleoplasm,Enhanced
P04179,Mitochondria,Enhanced
Q9BX46,Cytosol,Enhanced
Q9BX46,Nucleoplasm,Enhanced
Q5TGU0,Plasma membrane,Enhanced
Q13895,Mitotic chromosome,Enhanced
Q13895,Nucleoli,Enhanced
Q13895,Nucleoli rim,Enhanced
Q13895,Nucleoplasm,Enhanced
Q13123,Nuclear speckles,Enhanced
Q9Y5P4,Golgi apparatus,Enhanced
Q9Y5P4,Nucleoplasm,Enhanced
Q96CS3,Lipid droplets,Enhanced
Q99614,Cytosol,Enhanced
Q8TDN6,Mitotic chromosome,Enhanced
Q8TDN6,Nucleoli,Enhanced
O75694,Nuclear membrane,Enhanced
P04150,Cytosol,Enhanced
P04150,Nucleoplasm,Enhanced
O14776,Nucleoplasm,Enhanced
Q969X5,Vesicles,Enhanced
Q9NPL8,Mitochondria,Enhanced
O15527,Nucleoplasm,Enhanced
P52294,Cytosol,Enhanced
P52294,Nucleoplasm,Enhanced
Q92831,Cytosol,Enhanced
Q92831,Nucleoplasm,Enhanced
Q9H8V3,Cytosol,Enhanced
Q9H8V3,Nucleoplasm,Enhanced
P83731,Cytosol,Enhanced
P83731,Endoplasmic reticulum,Enhanced
P51114,Cytosol,Enhanced
P52298,Nucleoplasm,Enhanced
Q4KWH8,Vesicles,Enhanced
P30414,Cytosol,Enhanced
P30414,Plasma membrane,Enhanced
Q04637,Cytosol,Enhanced
P19338,Nucleoli,Enhanced
P19338,Nucleoli rim,Enhanced
P19338,Nucleoplasm,Enhanced
Q9HCM4,Plasma membrane,Enhanced
Q15036,Cytosol,Enhanced
Q15036,Vesicles,Enhanced
O15355,Nucleoplasm,Enhanced
Q9BSM1,Nucleoplasm,Enhanced
Q9NQC3,Endoplasmic reticulum,Enhanced
Q12805,Mitochondria,Enhanced
P42224,Cytosol,Enhanced
P42224,Nucleoplasm,Enhanced
Q9BWT3,Nucleoplasm,Enhanced
Q8NDI1,Cytosol,Enhanced
Q8NDI1,Plasma membrane,Enhanced
O14530,Cytosol,Enhanced
O75533,Nuclear speckles,Enhanced
Q9H2J4,Cytosol,Enhanced
Q9H2J4,Nucleoplasm,Enhanced
Q14192,Actin filaments,Enhanced
Q14192,Focal adhesion sites,Enhanced
Q9H8Y8,Golgi apparatus,Enhanced
P14868,Cytosol,Enhanced
Q16629,Nucleoplasm,Enhanced
P43007,Centrosome,Enhanced
O14548,Mitochondria,Enhanced
P15336,Nucleoplasm,Enhanced
Q9NWW7,Nucleoplasm,Enhanced
Q9HB20,Golgi apparatus,Enhanced
Q9HB71,Cytosol,Enhanced
Q9HB71,Nucleoplasm,Enhanced
Q9Y546,Nucleoplasm,Enhanced
Q01433,Cytosol,Enhanced
Q13547,Nucleoplasm,Enhanced
P23246,Nucleoplasm,Enhanced
Q3T8J9,Nuclear bodies,Enhanced
Q3T8J9,Nucleoplasm,Enhanced
Q14814,Nucleoplasm,Enhanced
Q14814,Vesicles,Enhanced
Q9NX46,Nucleoplasm,Enhanced
Q99598,Nucleoplasm,Enhanced
P12524,Mitotic chromosome,Enhanced
P12524,Nucleoplasm,Enhanced
P11310,Mitochondria,Enhanced
O43395,Nucleoplasm,Enhanced
P11166,Plasma membrane,Enhanced
Q99848,Nucleoli,Enhanced
Q99848,Nucleoli rim,Enhanced
Q12834,Cytosol,Enhanced
Q12834,Nucleoplasm,Enhanced
Q15417,Actin filaments,Enhanced
Q15417,Cytosol,Enhanced
Q9Y520,Cytosol,Enhanced
P28288,Peroxisomes,Enhanced
O14896,Cytosol,Enhanced
Q9P2K3,Cytosol,Enhanced
Q9P2K3,Nucleoplasm,Enhanced
Q92786,Cytosol,Enhanced
Q92786,Nucleoplasm,Enhanced
O14497,Nucleoplasm,Enhanced
P15927,Nuclear bodies,Enhanced
P15927,Nucleoplasm,Enhanced
Q12972,Nuclear speckles,Enhanced
Q12972,Nucleoplasm,Enhanced
Q86Y82,Golgi apparatus,Enhanced
Q86Y82,Vesicles,Enhanced
O15446,Nucleoli fibrillar center,Enhanced
O15446,Nucleoplasm,Enhanced
Q14257,Endoplasmic reticulum,Enhanced
Q8WVM7,Nuclear bodies,Enhanced
Q8WVM7,Nucleoplasm,Enhanced
P16220,Nucleoplasm,Enhanced
O00141,Nuclear speckles,Enhanced
O43524,Nucleoplasm,Enhanced
Q9GZN2,Nucleoplasm,Enhanced
Q9UNQ0,Plasma membrane,Enhanced
P10451,Golgi apparatus,Enhanced
Q14094,Golgi apparatus,Enhanced
P30279,Nucleoplasm,Enhanced
Q9UDY2,Cell Junctions,Enhanced
Q9UDY2,Plasma membrane,Enhanced
Q9H583,Mitochondria,Enhanced
Q9H583,Nucleoli fibrillar center,Enhanced
Q01105,Lipid droplets,Enhanced
Q01105,Nucleoplasm,Enhanced
Q15257,Nucleoplasm,Enhanced
Q9BSH5,Nucleoli,Enhanced
Q9BSH5,Vesicles,Enhanced
Q96H35,Cytosol,Enhanced
Q96H35,Nucleoplasm,Enhanced
Q6YN16,Mitochondria,Enhanced
Q9H1B7,Nucleoplasm,Enhanced
P49756,Nuclear speckles,Enhanced
Q02252,Mitochondria,Enhanced
Q9NTM9,Nucleoli,Enhanced
Q9NTM9,Nucleoplasm,Enhanced
O75940,Nucleoplasm,Enhanced
Q6UB35,Mitochondria,Enhanced
Q9ULL1,Nucleoplasm,Enhanced
Q9H6Y2,Nucleoli,Enhanced
Q9H6Y2,Nucleoplasm,Enhanced
Q96GX5,Nucleoplasm,Enhanced
Q92598,Cytosol,Enhanced
Q92598,Nucleoplasm,Enhanced
Q7LBC6,Nucleoplasm,Enhanced
P18146,Nucleoplasm,Enhanced
P42166,Nuclear membrane,Enhanced
P42167,Nuclear membrane,Enhanced
P34913,Cytosol,Enhanced
Q13148,Nucleoplasm,Enhanced
P28908,Plasma membrane,Enhanced
Q92905,Nucleoplasm,Enhanced
Q63HK5,Nucleoplasm,Enhanced
Q8WXF1,Nucleoli fibrillar center,Enhanced
Q8WXF1,Nucleoplasm,Enhanced
Q99496,Nuclear bodies,Enhanced
Q99496,Nucleoplasm,Enhanced
Q9UQF2,Plasma membrane,Enhanced
P04040,Vesicles,Enhanced
Q07666,Nucleoplasm,Enhanced
Q29RF7,Nucleoplasm,Enhanced
Q9UBT6,Nucleoplasm,Enhanced
Q8IWV1,Cytosol,Enhanced
Q8IWV1,Golgi apparatus,Enhanced
Q8IWV1,Plasma membrane,Enhanced
Q7Z6E9,Nuclear speckles,Enhanced
Q8IXQ5,Cytosol,Enhanced
Q8IXQ5,Nucleoplasm,Enhanced
P86791,Vesicles,Enhanced
O15164,Nucleoplasm,Enhanced
Q05682,Actin filaments,Enhanced
Q05682,Plasma membrane,Enhanced
O95229,Nuclear bodies,Enhanced
O95229,Nucleoplasm,Enhanced
O75436,Endosomes,Enhanced
Q9C0J9,Nucleoplasm,Enhanced
